<program, <-1, -1>>
<{, <-1, -1>>
<integer, <-1, -1>>
<identifier, <97, 0>>
<,, <-1, -1>>
<integer, <-1, -1>>
<identifier, <98, 0>>
<;, <-1, -1>>
<read, <-1, -1>>
<(, <-1, -1>>
<identifier, <97, 0>>
<), <-1, -1>>
<;, <-1, -1>>
<read, <-1, -1>>
<(, <-1, -1>>
<identifier, <98, 0>>
<), <-1, -1>>
<;, <-1, -1>>
<while, <-1, -1>>
<identifier, <97, 0>>
<<, <-1, -1>>
<>, <-1, -1>>
<identifier, <98, 0>>
<{, <-1, -1>>
<if, <-1, -1>>
<identifier, <97, 0>>
<>, <-1, -1>>
<identifier, <98, 0>>
<{, <-1, -1>>
<identifier, <97, 0>>
<=, <-1, -1>>
<identifier, <97, 0>>
<-, <-1, -1>>
<identifier, <98, 0>>
<}, <-1, -1>>
<else, <-1, -1>>
<{, <-1, -1>>
<identifier, <97, 0>>
<=, <-1, -1>>
<identifier, <98, 0>>
<-, <-1, -1>>
<identifier, <97, 0>>
<}, <-1, -1>>
<}, <-1, -1>>
<identifier, <57, 0>>
<(, <-1, -1>>
<identifier, <97, 0>>
<), <-1, -1>>
<}, <-1, -1>>
